# it, index, xp, yp, rhopswarm, aps
1.051831600000000044e+01,1.000000000000000000e+00,9.950409999999999533e-01,1.461710000000000065e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.061945399999999928e+01,1.000000000000000000e+00,9.949400000000000466e-01,1.456585000000000019e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.070036400000000043e+01,1.000000000000000000e+00,9.948580000000000201e-01,1.452485000000000026e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.080150100000000002e+01,1.000000000000000000e+00,9.947540000000000271e-01,1.447357999999999922e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.090263900000000064e+01,1.000000000000000000e+00,9.946500000000000341e-01,1.442229999999999901e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.100377699999999948e+01,1.000000000000000000e+00,9.945439999999999836e-01,1.437100999999999962e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.110491400000000084e+01,1.000000000000000000e+00,9.944359999999999866e-01,1.431969999999999965e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.120605199999999968e+01,1.000000000000000000e+00,9.943279999999999896e-01,1.426838000000000051e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.130719000000000030e+01,1.000000000000000000e+00,9.942180000000000462e-01,1.421704000000000079e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.140832699999999988e+01,1.000000000000000000e+00,9.941069999999999629e-01,1.416570000000000107e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.150946500000000050e+01,1.000000000000000000e+00,9.939949999999999619e-01,1.411434000000000077e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.161060299999999934e+01,1.000000000000000000e+00,9.938820000000000432e-01,1.406295999999999990e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.171174000000000071e+01,1.000000000000000000e+00,9.937669999999999559e-01,1.401156999999999986e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.181287799999999955e+01,1.000000000000000000e+00,9.936509999999999510e-01,1.396017000000000063e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.191401600000000016e+01,1.000000000000000000e+00,9.935340000000000282e-01,1.390876000000000001e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.201515299999999975e+01,1.000000000000000000e+00,9.934150000000000480e-01,1.385733000000000104e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.211629100000000037e+01,1.000000000000000000e+00,9.932959999999999567e-01,1.380587999999999926e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.221742899999999921e+01,1.000000000000000000e+00,9.931750000000000300e-01,1.375442000000000053e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.231856600000000057e+01,1.000000000000000000e+00,9.930520000000000458e-01,1.370295000000000041e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.241970399999999941e+01,1.000000000000000000e+00,9.929280000000000328e-01,1.365145999999999971e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.250061400000000056e+01,1.000000000000000000e+00,9.928289999999999615e-01,1.361026000000000069e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.260175199999999940e+01,1.000000000000000000e+00,9.927019999999999733e-01,1.355874999999999941e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.270288900000000076e+01,1.000000000000000000e+00,9.925749999999999851e-01,1.350721999999999978e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.280402699999999960e+01,1.000000000000000000e+00,9.924460000000000504e-01,1.345568000000000097e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.290516500000000022e+01,1.000000000000000000e+00,9.923159999999999759e-01,1.340411999999999937e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.300630199999999981e+01,1.000000000000000000e+00,9.921849999999999836e-01,1.335255000000000081e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.310744000000000042e+01,1.000000000000000000e+00,9.920520000000000449e-01,1.330095999999999945e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.320857799999999926e+01,1.000000000000000000e+00,9.919179999999999664e-01,1.324934999999999974e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.330971500000000063e+01,1.000000000000000000e+00,9.917820000000000524e-01,1.319773000000000085e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.341085299999999947e+01,1.000000000000000000e+00,9.916449999999999987e-01,1.314610000000000056e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.351199100000000008e+01,1.000000000000000000e+00,9.915070000000000272e-01,1.309444999999999970e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.361312799999999967e+01,1.000000000000000000e+00,9.913669999999999982e-01,1.304278000000000048e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.371426600000000029e+01,1.000000000000000000e+00,9.912260000000000515e-01,1.299109999999999987e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.381540399999999913e+01,1.000000000000000000e+00,9.910830000000000473e-01,1.293940000000000090e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.391654100000000049e+01,1.000000000000000000e+00,9.909390000000000143e-01,1.288767999999999914e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.401767899999999933e+01,1.000000000000000000e+00,9.907939999999999525e-01,1.283595000000000041e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.411881699999999995e+01,1.000000000000000000e+00,9.906470000000000553e-01,1.278419999999999890e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.421995399999999954e+01,1.000000000000000000e+00,9.904979999999999896e-01,1.273244000000000042e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.430086400000000069e+01,1.000000000000000000e+00,9.903790000000000093e-01,1.269101999999999952e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.440200199999999953e+01,1.000000000000000000e+00,9.902279999999999971e-01,1.263921999999999990e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.450314000000000014e+01,1.000000000000000000e+00,9.900750000000000384e-01,1.258741000000000110e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.460427699999999973e+01,1.000000000000000000e+00,9.899210000000000509e-01,1.253559000000000090e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.470541500000000035e+01,1.000000000000000000e+00,9.897650000000000059e-01,1.248374000000000095e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.480655299999999919e+01,1.000000000000000000e+00,9.896080000000000432e-01,1.243187999999999960e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.490769000000000055e+01,1.000000000000000000e+00,9.894500000000000517e-01,1.237999999999999989e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.500882799999999939e+01,1.000000000000000000e+00,9.892889999999999739e-01,1.232811000000000101e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.510996600000000001e+01,1.000000000000000000e+00,9.891280000000000072e-01,1.227619000000000016e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.521110299999999960e+01,1.000000000000000000e+00,9.889639999999999542e-01,1.222426000000000013e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.531224100000000021e+01,1.000000000000000000e+00,9.888000000000000123e-01,1.217230999999999952e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.541337799999999980e+01,1.000000000000000000e+00,9.886329999999999840e-01,1.212034999999999973e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.551451600000000042e+01,1.000000000000000000e+00,9.884650000000000380e-01,1.206836000000000020e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.561565399999999926e+01,1.000000000000000000e+00,9.882950000000000346e-01,1.201635999999999926e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.571679100000000062e+01,1.000000000000000000e+00,9.881240000000000023e-01,1.196433999999999997e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.581792899999999946e+01,1.000000000000000000e+00,9.879510000000000236e-01,1.191230999999999929e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.591906700000000008e+01,1.000000000000000000e+00,9.877770000000000161e-01,1.186025000000000107e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.602020399999999967e+01,1.000000000000000000e+00,9.876009999999999511e-01,1.180817999999999923e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.610111500000000007e+01,1.000000000000000000e+00,9.874589999999999756e-01,1.176650999999999891e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.620225200000000143e+01,1.000000000000000000e+00,9.872790000000000177e-01,1.171440000000000037e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.630339000000000027e+01,1.000000000000000000e+00,9.870989999999999487e-01,1.166226999999999903e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.640452700000000164e+01,1.000000000000000000e+00,9.869160000000000155e-01,1.161013000000000073e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.650566500000000048e+01,1.000000000000000000e+00,9.867320000000000535e-01,1.155796999999999963e+00,0.000000000000000000e+00,0.000000000000000000e+00
