# t, l_px[0], l_py[0], l_vx[0], l_vy[0], l_px[1], l_py[1], l_vx[1], l_vy[1], l_aps[0], l_aps[1]
2.674079573457910897e+01,1.982149803021267611e-16,-1.427649999626516404e-16,5.843516870672176373e-18,-1.491699207568405414e-17,9.123146284263301542e-01,5.793966569501312058e-01,-8.954873681381854064e-03,-5.787284664657872668e-02,1.000000000000000056e-01,0.000000000000000000e+00
2.726671153571306760e+01,2.012711082545791180e-16,-1.505833590610754750e-16,5.617191707646741542e-18,-1.486962169272525895e-17,9.074998075463800440e-01,5.488921730579631175e-01,-9.358141878763064428e-03,-5.813204058967656740e-02,1.000000000000000056e-01,0.000000000000000000e+00
2.775217227522133712e+01,2.038967386690281026e-16,-1.576720418669992084e-16,5.087637611730637848e-18,-1.420058813587485778e-17,9.028633790938362935e-01,5.206136755776782366e-01,-9.745460508608198152e-03,-5.836925824301535115e-02,1.000000000000000056e-01,0.000000000000000000e+00
2.827808807635529575e+01,2.064499728169190381e-16,-1.648902690381316469e-16,4.719201299828770453e-18,-1.326780096526614686e-17,8.976240826838293163e-01,4.898494288620806048e-01,-1.018199858840574887e-02,-5.862318771864605954e-02,1.000000000000000056e-01,0.000000000000000000e+00
2.880400387748925439e+01,2.088740648010821286e-16,-1.717997001075921776e-16,4.522117113938403949e-18,-1.323563589041756600e-17,8.921504418994706809e-01,4.589526829127965057e-01,-1.063672215551161697e-02,-5.887295335872768515e-02,1.000000000000000056e-01,0.000000000000000000e+00
2.932991967862321303e+01,2.111384354795152899e-16,-1.788542904232837837e-16,4.007768326132540007e-18,-1.349207925989211907e-17,8.864327797062551140e-01,4.279259304109115924e-01,-1.111005792658461069e-02,-5.911738640494296898e-02,1.000000000000000056e-01,0.000000000000000000e+00
2.985583547975717167e+01,2.130790339658416421e-16,-1.859835246020443480e-16,3.351308389450244272e-18,-1.364851848756474224e-17,8.804611875939967192e-01,3.967723008883827784e-01,-1.160247277257170188e-02,-5.935523832150785967e-02,1.000000000000000056e-01,0.000000000000000000e+00
3.038175128089113031e+01,2.146365355416315333e-16,-1.929796182611787919e-16,2.657712411806411392e-18,-1.288532898433944550e-17,8.742254947647627450e-01,3.654956008556226599e-01,-1.211449615423945345e-02,-5.958518172887336539e-02,1.000000000000000056e-01,0.000000000000000000e+00
3.090766708202508894e+01,2.159522903685031047e-16,-1.996828619244126940e-16,2.416474350442093454e-18,-1.275462181654569255e-17,8.677152684880018452e-01,3.341003584019147654e-01,-1.264652335387013611e-02,-5.980579680626066374e-02,1.000000000000000056e-01,0.000000000000000000e+00
3.143358288315904758e+01,2.171681454451977198e-16,-2.062782209551287201e-16,2.328751419036886932e-18,-1.198266002017989056e-17,8.609199561202104389e-01,3.025918764384826209e-01,-1.319866415636480536e-02,-6.001555406174054891e-02,1.000000000000000056e-01,0.000000000000000000e+00
